"by15","par1_n","par2_s","pyr1_n","pyr2_s","am2320_high_temp","am2320_high_rh","sht2_low_temp","sht2_low_rh","bmp_box_temp","bmp_box_atm_p","soil_t1","soil_t2","soil_t3","soil_t4"
2019-08-30 05:15:00,-47.2248275862069,-3.21655172413793,-15.4624137931034,-14.3331034482759,21.5862068965517,46.5758620689655,21.72,53.4551724137931,23.7706896551724,85210.0331034483,23.3244827586207,23.3844827586207,24.1037931034483,23.3431034482759
2019-08-30 05:30:00,-41.034,-0.539,-14.323,-13.1783333333333,21.8733333333333,46.07,21.614,53.9066666666667,23.8,85229.5063333333,23.274,23.33,24.026,23.264
2019-08-30 05:45:00,-25.5634482758621,-4.32965517241379,-10.6696551724138,-13.4703448275862,22.0172413793103,45.1896551724138,21.6175862068966,53.2603448275862,23.8113793103448,85257.5196551724,23.2210344827586,23.2851724137931,23.95,23.2024137931034
2019-08-30 06:00:00,-6.04833333333333,6.697,-5.83433333333333,-9.89633333333333,21.98,44.69,21.7493333333333,52.5883333333333,23.7776666666667,85254.901,23.1876666666667,23.244,23.86,23.1293333333333
2019-08-30 06:15:00,21.5268965517241,20.4137931034483,-3.66413793103448,-7.06,21.6827586206897,45.1758620689655,21.7962068965517,52.4313793103448,23.8031034482759,85272.8282758621,23.1224137931034,23.1920689655172,23.7913793103448,23.1075862068966
2019-08-30 06:30:00,38.8233333333333,26.7313333333333,3.07366666666667,-2.13566666666667,21.78,45.5766666666667,21.784,52.707,23.8743333333333,85280.6586666667,23.104,23.1783333333333,23.73,23.056
2019-08-30 06:45:00,75.3458620689655,38.6627586206897,11.8544827586207,5.92827586206897,21.8034482758621,45.9413793103448,21.9131034482759,52.8672413793103,24.0124137931034,85285.5186206897,23.06,23.12,23.6634482758621,23.0020689655172
2019-08-30 07:00:00,82.979,70.5036666666667,24.9493333333333,16.8763333333333,22.0133333333333,45.4166666666667,22.25,52.3116666666667,24.149,85263.7,23.032,23.112,23.61,22.966
2019-08-30 07:15:00,64.2462068965517,87.4720689655172,27.8020689655172,21.7679310344828,21.7,47.2068965517241,22.0162068965517,53.3403448275862,24.3662068965517,85256.2844827586,23,23.0620689655172,23.56,22.9648275862069
2019-08-30 07:30:00,13.5263333333333,85.3333333333333,25.1056666666667,16.4593333333333,22.29,45.6466666666667,21.9886666666667,53.3256666666667,24.4476666666667,85261.893,23,23.06,23.518,22.9376666666667
2019-08-30 07:45:00,81.1306896551724,112.958965517241,40.7337931034483,30.7662068965517,22.8103448275862,44.7448275862069,22.2651724137931,53.1189655172414,24.4351724137931,85261.4165517241,23,23.0227586206897,23.4958620689655,22.87
2019-08-30 08:00:00,85.0593333333333,153.266666666667,56.5116666666667,43.96,22.7866666666667,45.39,22.509,53.0943333333333,24.5416666666667,85272.5236666667,23,23,23.446,22.87
2019-08-30 08:15:00,134.411724137931,132.075172413793,59.591724137931,42.9434482758621,23.1689655172414,45.151724137931,22.5375862068966,53.6003448275862,24.658275862069,85283.3475862069,23,23,23.44,22.87
2019-08-30 08:30:00,119.006206896552,205.628965517241,78.2879310344828,62.8786206896552,22.9827586206897,46.4034482758621,22.7244827586207,54.3062068965517,24.7389655172414,85283.935862069,23.0041379310345,23,23.4375862068966,22.87
2019-08-30 08:45:00,181.370333333333,203.438,86.093,68.3326666666667,22.9866666666667,47.4566666666667,22.853,54.6076666666667,25.0013333333333,85286.3576666667,23.06,23.002,23.4026666666667,22.87
2019-08-30 09:00:00,272.658965517241,228.57724137931,105.064482758621,85.398275862069,23.8103448275862,45.9724137931034,23.2034482758621,54.3420689655172,25.1879310344828,85271.2455172414,23.0806896551724,23.0186206896552,23.3941379310345,22.87
2019-08-30 09:15:00,340.565666666667,304.080666666667,133.542666666667,116.198333333333,23.6933333333333,46.7866666666667,23.584,53.9393333333333,25.4543333333333,85260.2866666667,23.1433333333333,23.056,23.4283333333333,22.9376666666667
2019-08-30 09:30:00,380.227931034483,393.315517241379,163.41724137931,146.768620689655,23.5413793103448,47.4206896551724,23.6862068965517,53.9868965517241,25.6786206896552,85250.7931034483,23.2272413793103,23.06,23.44,22.9793103448276
2019-08-30 09:45:00,329.315333333333,406.158,149.323333333333,154.949666666667,24.5533333333333,46.2533333333333,23.4186666666667,55.004,25.8173333333333,85238.695,23.332,23.11,23.476,23.034
2019-08-30 10:00:00,276.828620689655,383.417931034483,130.494137931034,172.359655172414,27.4586206896552,39.2172413793103,23.7096551724138,53.9444827586207,25.991724137931,85230.0889655172,23.4813793103448,23.1731034482759,23.5351724137931,23.1286206896552
2019-08-30 10:15:00,505.678,654.207,168.387333333333,239.219666666667,27.5166666666667,39.32,23.7733333333333,54.3396666666667,26.0163333333333,85213.5266666667,23.6613333333333,23.232,23.596,23.31
