"by15","wind_speed_m_s","position","treatment","block"
2019-08-27 03:45:00,0,"bottom","well_watered","W"
2019-08-27 04:00:00,0,"bottom","well_watered","W"
2019-08-27 04:15:00,0,"bottom","well_watered","W"
2019-08-27 04:30:00,2.56190342705238e-06,"bottom","well_watered","W"
2019-08-27 04:45:00,0,"bottom","well_watered","W"
2019-08-27 05:00:00,6.44472669546771e-09,"bottom","well_watered","W"
2019-08-27 05:15:00,2.17175951504557e-06,"bottom","well_watered","W"
2019-08-27 05:30:00,4.2939278055612e-08,"bottom","well_watered","W"
2019-08-27 05:45:00,4.34735882771535e-06,"bottom","well_watered","W"
2019-08-27 06:00:00,4.13638466649614e-05,"bottom","well_watered","W"
2019-08-27 06:15:00,9.76029532613718e-06,"bottom","well_watered","W"
2019-08-27 06:30:00,6.84398957572781e-05,"bottom","well_watered","W"
2019-08-27 06:45:00,2.36928881924035e-05,"bottom","well_watered","W"
2019-08-27 07:00:00,0.00100509368894986,"bottom","well_watered","W"
2019-08-27 07:15:00,0.000833357389034483,"bottom","well_watered","W"
2019-08-27 07:30:00,0.00246037203541872,"bottom","well_watered","W"
2019-08-27 07:45:00,0.0024525534348633,"bottom","well_watered","W"
2019-08-27 08:00:00,0.0125399011367871,"bottom","well_watered","W"
2019-08-27 08:15:00,0.0167616668318102,"bottom","well_watered","W"
2019-08-27 08:30:00,0.021543336046968,"bottom","well_watered","W"
2019-08-27 08:45:00,0.0285481634586288,"bottom","well_watered","W"
2019-08-27 09:00:00,0.0349426881503427,"bottom","well_watered","W"
2019-08-27 09:15:00,0.0296207552197653,"bottom","well_watered","W"
2019-08-27 09:30:00,0.0239168741209266,"bottom","well_watered","W"
2019-08-27 09:45:00,0.015454233361442,"bottom","well_watered","W"
2019-08-27 10:00:00,0.0299681825801743,"bottom","well_watered","W"
2019-08-27 10:15:00,0.0398641284562437,"bottom","well_watered","W"
2019-08-27 10:30:00,0.0392870657196965,"bottom","well_watered","W"
2019-08-27 10:45:00,0.0364783170641614,"bottom","well_watered","W"
2019-08-27 11:00:00,0.0323654632290385,"bottom","well_watered","W"
2019-08-27 11:15:00,0.0343759421320119,"bottom","well_watered","W"
2019-08-27 11:30:00,0.036442915234752,"bottom","well_watered","W"
2019-08-27 11:45:00,0.0462403740116156,"bottom","well_watered","W"
2019-08-27 12:00:00,0.037731471437064,"bottom","well_watered","W"
2019-08-27 12:15:00,0.0414964453693688,"bottom","well_watered","W"
2019-08-27 12:30:00,0.0426459313031113,"bottom","well_watered","W"
2019-08-27 12:45:00,0.0313192642271349,"bottom","well_watered","W"
2019-08-27 13:00:00,0.0393757919511785,"bottom","well_watered","W"
2019-08-27 13:15:00,0.0305383269682709,"bottom","well_watered","W"
2019-08-27 13:30:00,0.0349369330956734,"bottom","well_watered","W"
2019-08-27 13:45:00,0.0271175543876025,"bottom","well_watered","W"
2019-08-27 14:00:00,0.0190860907925455,"bottom","well_watered","W"
2019-08-27 14:15:00,0.0223363872556884,"bottom","well_watered","W"
2019-08-27 14:30:00,0.023145542420654,"bottom","well_watered","W"
2019-08-27 14:45:00,0.0333894521269621,"bottom","well_watered","W"
2019-08-27 15:00:00,0.0280631289382673,"bottom","well_watered","W"
2019-08-27 15:15:00,0.0181123326056312,"bottom","well_watered","W"
2019-08-27 15:30:00,0.0205950388140511,"bottom","well_watered","W"
2019-08-27 15:45:00,0.0134446371107401,"bottom","well_watered","W"
2019-08-27 16:00:00,0.0138818917113283,"bottom","well_watered","W"
2019-08-27 16:15:00,0.0165448774209744,"bottom","well_watered","W"
2019-08-27 16:30:00,0.018309440096688,"bottom","well_watered","W"
2019-08-27 16:45:00,0.0188914200915794,"bottom","well_watered","W"
2019-08-27 17:00:00,0.013140326198621,"bottom","well_watered","W"
2019-08-27 17:15:00,0.00834210421517893,"bottom","well_watered","W"
2019-08-27 17:30:00,0.0160604013420836,"bottom","well_watered","W"
2019-08-27 17:45:00,0.0110754524330252,"bottom","well_watered","W"
2019-08-27 18:00:00,0.00821640970461112,"bottom","well_watered","W"
2019-08-27 18:15:00,0.00231825403193113,"bottom","well_watered","W"
2019-08-27 18:30:00,0.00421254490993163,"bottom","well_watered","W"
2019-08-27 18:45:00,0.00407327991382842,"bottom","well_watered","W"
2019-08-27 19:00:00,0.00210866450365749,"bottom","well_watered","W"
2019-08-27 19:15:00,0.00138698424410626,"bottom","well_watered","W"
2019-08-27 19:30:00,0.00202995350097918,"bottom","well_watered","W"
2019-08-27 19:45:00,0.00793393592844181,"bottom","well_watered","W"
2019-08-27 20:00:00,0.00134899416914632,"bottom","well_watered","W"
2019-08-27 20:15:00,0.00856169578786948,"bottom","well_watered","W"
2019-08-27 20:30:00,0.00398976586508579,"bottom","well_watered","W"
2019-08-27 20:45:00,0.000267723474340206,"bottom","well_watered","W"
